feature,count
1928,42.0
1929,32.0
193,16.0
1930,110.0
1930s,54.0
1931,11.0
1932,15.0
1933,15.0
1934,11.0
1936,20.0
1937,12.0
1938,22.0
1939,21.0
194,22.0
1940,96.0
1940s,81.0
1941,15.0
1942,34.0
1944,15.0
1945,27.0
1946,12.0
1947,51.0
1948,20.0
19485,38.0
1949,17.0
195,117.0
1950,368.0
1950s,235.0
1951,19.0
1952,19.0
1954,19.0
1955,45.0
1956,27.0
1957,28.0
1958,34.0
1959,31.0
196,19.0
1960,236.0
1960s,145.0
1961,15.0
1962,25.0
1963,32.0
1964,31.0
1965,40.0
1966,34.0
1967,43.0
1968,34.0
1969,48.0
197,15.0
1970,308.0
1970s,197.0
1971,36.0
1972,59.0
1973,55.0
1974,55.0
1975,75.0
1976,61.0
1977,52.0
1978,58.0
1979,85.0
198,30.0
1980,387.0
1980s,200.0
1981,64.0
1982,87.0
1983,73.0
1984,81.0
1985,143.0
1986,95.0
1987,97.0
1988,131.0
1989,110.0
199,182.0
1990,305.0
1990s,167.0
1991,96.0
1992,140.0
1993,145.0
1994,145.0
1995,212.0
1996,159.0
1997,190.0
1998,275.0
1999,298.0
19h,18.0
19pm,11.0
19th,767.0
1a,79.0
1am,1501.0
1b,21.0
1br,29.0
1c,12.0
1cent,14.0
1cm,12.0
1derful,20.0
1er,19.0
1ft,11.0
1g,10.0
1h,48.0
1hour,86.0
1hr,369.0
1ish,38.0
1k,200.0
1l,49.0
1lb,311.0
1lbs,18.0
1m,13.0
1mb,18.0
1min,19.0
1minute,11.0
1o,14.0
1oak,156.0
1oz,65.0
1p,78.0
1person,12.0
1pm,1873.0
1s,53.0
1st,7645.0
1star,105.0
1x,145.0
1year,10.0
1yr,57.0
20,72739.0
200,6737.0
2000,1178.0
20000,12.0
2000s,91.0
2001,363.0
2002,376.0
2003,470.0
2004,523.0
2005,721.0
2006,827.0
2007,1071.0
2008,1494.0
2009,1701.0
200k,28.0
200lbs,17.0
200s,17.0
200th,77.0
201,79.0
2010,2490.0
2011,3318.0
2012,3670.0
2013,4367.0
2014,4153.0
2015,390.0
2016,32.0
202,334.0
2020,18.0
203,65.0
204,52.0
205,59.0
206,36.0
207,31.0
208,36.0
209,61.0
20am,89.0
20bucks,15.0
20c,14.0
20ft,22.0
20h,20.0
20ish,114.0
20k,71.0
20lb,16.0
20lbs,42.0
20m,18.0
20min,441.0
20mins,299.0
20minutes,106.0
20mn,10.0
20oz,305.0
20p,25.0
20pm,253.0
20pp,15.0
20s,649.0
20something,20.0
20somethings,16.0
20th,676.0
20x,53.0
20yr,11.0
20yrs,22.0
21,7019.0
210,139.0
2100,50.0
211,24.0
212,34.0
213,19.0
214,25.0
215,1200.0
216,28.0
217,38.0
218,30.0
219,29.0
21h,37.0
21oz,15.0
21s,13.0
21st,1748.0
22,5835.0
220,280.0
2200,52.0
221,14.0
222,25.0
223,31.0
224,21.0
225,182.0
226,17.0
227,18.0
228,21.0
229,35.0
22h,26.0
22lr,14.0
22nd,329.0
22oz,266.0
22pm,14.0
23,3473.0
230,294.0
2300,54.0
230am,24.0
230pm,40.0
231,21.0
232,12.0
233,17.0
234,21.0
235,61.0
236,21.0
237,12.0
238,16.0
239,19.0
23oz,17.0
23pm,15.0
23rd,493.0
24,19914.0
240,295.0
2400,61.0
241,20.0
242,17.0
243,15.0
244,17.0
245,73.0
247,24.0
248,14.0
249,63.0
24h,100.0
24hour,78.0
24hours,139.0
24hr,464.0
24hrs,592.0
24k,38.0
24oz,265.0
24pm,11.0
24th,521.0
24x7,42.0
25,28951.0
250,1939.0
2500,238.0
250lbs,11.0
250ml,19.0
251,12.0
252,18.0
253,13.0
254,15.0
255,39.0
256,18.0
257,10.0
258,13.0
259,27.0
25am,37.0
25c,28.0
25cent,23.0
25cents,16.0
25ish,29.0
25k,22.0
25lb,14.0
25lbs,13.0
25min,86.0
25mins,49.0
25minutes,19.0
25oz,25.0
25p,14.0
25pm,85.0
25pp,15.0
25th,552.0
25yrs,13.0
26,3489.0
260,188.0
2600,50.0
262,17.0
263,10.0
264,15.0
265,35.0
266,15.0
267,12.0
268,12.0
269,26.0
26oz,15.0
26th,324.0
27,3148.0
270,178.0
2700,43.0
271,14.0
272,15.0
273,11.0
274,52.0
275,167.0
277,36.0
278,12.0
279,41.0
27th,333.0
28,3495.0
280,165.0
2800,38.0
281,17.0
285,35.0
286,12.0
287,26.0
288,12.0
289,27.0
28go,60.0
28oz,22.0
28pm,14.0
28th,339.0
28x,20.0
29,3307.0
290,57.0
2900,17.0
295,31.0
296,12.0
298,19.0
299,69.0
29er,13.0
29th,283.0
2a,79.0
2am,2268.0
2b,38.0
2ba,17.0
2bath,12.0
2bd,16.0
2br,22.0
2c,14.0
2d,41.0
2days,30.0
2e,65.0
2fer,12.0
2for1,42.0
2ft,25.0
2g,14.0
2go,13.0
2h,25.0
2hour,11.0
2hours,40.0
2hr,90.0
2hrs,215.0
2in,21.0
2ish,54.0
2k,176.0
2l,29.0
2lb,201.0
2lbs,139.0
2miles,10.0
2min,32.0
2mins,19.0
2minutes,14.0
2mm,10.0
2nd,10426.0
2nds,45.0
2oz,139.0
2p,91.0
2pac,21.0
2pc,40.0
2pm,2321.0
2ppl,14.0
2s,35.0
2star,27.0
2stars,52.0
2weeks,22.0
2weqs,29.0
2wice,12.0
2wks,11.0
2x,976.0
2x1,11.0
2x2,33.0
2x4,33.0
2x4s,10.0
2xl,11.0
2xs,14.0
2year,13.0
2years,19.0
2yo,14.0
2yr,62.0
2yrs,60.0
30,68523.0
300,4336.0
3000,469.0
300k,10.0
300lb,21.0
300lbs,13.0
300ml,12.0
300th,35.0
301,61.0
302,54.0
303,76.0
304,18.0
305,55.0
306,14.0
307,10.0
308,45.0
30a,111.0
30am,2872.0
30ish,315.0
30k,106.0
30lb,10.0
30lbs,18.0
30m,20.0
30min,562.0
30mins,376.0
30minutes,108.0
30ml,15.0
30mph,10.0
30oz,23.0
30p,352.0
30pm,5872.0
30s,437.0
30something,14.0
30th,1063.0
31,1554.0
310,43.0
3100,10.0
311,51.0
312,41.0
3121,22.0
313,12.0
315,45.0
316,18.0
31st,239.0
32,3164.0
320,102.0
3200,34.0
321,18.0
324,12.0
325,102.0
327,12.0
328,18.0
328i,13.0
329,12.0
32nd,365.0
32oz,309.0
32pm,16.0
33,1402.0
330,180.0
3300,25.0
330am,19.0
330pm,41.0
331,12.0
332,11.0
333,18.0
334,11.0
335,37.0
336,12.0
338,14.0
33oz,14.0
33pm,10.0
33rd,76.0
34,1367.0
340,64.0
3400,17.0
344,12.0
345,33.0
347,38.0
348,14.0
349,25.0
34oz,16.0
34th,80.0
35,9792.0
350,889.0
3500,114.0
350lbs,19.0
350z,13.0
354,16.0
355,24.0
357,22.0
3570,18.0
359,13.0
35am,29.0
35ish,17.0
35k,12.0
35lbs,15.0
35min,35.0
35mins,23.0
35mm,20.0
35mph,12.0
35pm,85.0
35th,289.0
36,1984.0
360,710.0
3600,22.0
364,28.0
365,686.0
366,24.0
369,11.0
36oz,18.0
36pm,10.0
36th,121.0
37,1115.0
370,43.0
375,100.0
375ml,10.0
376,29.0
379,21.0
37pm,14.0
37th,69.0
38,1599.0
380,79.0
3800,18.0
385,37.0
386,15.0
38pm,14.0
38th,87.0
39,1974.0
390,30.0
395,24.0
396,10.0
399,66.0
39th,60.0
3a,65.0
3am,1991.0
3b,15.0
3bucks,10.0
3c,14.0
3d,1223.0
3day,12.0
3days,30.0
3e,16.0
3ft,37.0
3g,137.0
3gs,33.0
3h,22.0
3hours,23.0
3hr,24.0
3hrs,76.0
3ish,71.0
3k,117.0
3l,16.0
3lb,100.0
3lbs,62.0
3m,43.0
3min,37.0
3mins,17.0
3minutes,10.0
3months,11.0
3o,12.0
3oz,123.0
3p,155.0
3pc,21.0
3pm,3024.0
3rd,6478.0
3rds,90.0
3s,77.0
3star,35.0
3stars,74.0
3times,19.0
3weeks,14.0
3x,962.0
3x3,75.0
3x5,10.0
3xs,15.0
3years,16.0
3yo,21.0
3yr,64.0
3yrs,34.0
40,24428.0
400,2619.0
4000,221.0
400lbs,15.0
400th,38.0
401,45.0
401k,20.0
403,12.0
404,13.0
405,37.0
407,12.0
408,20.0
409,11.0
40am,119.0
40cents,10.0
40ish,69.0
40k,55.0
40lb,14.0
40lbs,24.0
40min,125.0
40mins,73.0
40minutes,42.0
40mph,15.0
40oz,79.0
40p,35.0
40pm,177.0
40pp,12.0
40s,493.0
40th,695.0
41,644.0
410,23.0
411,91.0
412,49.0
414,14.0
415,47.0
41st,15.0
42,1458.0
420,103.0
425,81.0
426,12.0
427,10.0
428,15.0
42nd,36.0
42oz,11.0
43,726.0
430,175.0
4300,12.0
430am,16.0
430p,11.0
430pm,51.0
433,17.0
435,27.0
43rd,175.0
44,1154.0
440,78.0
441,15.0
445,31.0
44oz,29.0
44th,222.0
45,21349.0
450,506.0
4500,47.0
456,13.0
458,40.0
45a,12.0
45am,395.0
45ish,37.0
45m,11.0
45min,365.0
45mins,209.0
45minutes,56.0
45mph,15.0
45p,48.0
45pm,934.0
45s,18.0
45th,43.0
46,633.0
460,38.0
465,11.0
46th,25.0
47,732.0
470,24.0
475,159.0
47th,30.0
48,1876.0
480,215.0
4800,17.0
485,156.0
48hrs,23.0
48oz,35.0
48pm,17.0
48th,156.0
49,2557.0
490,21.0
495,32.0
499,35.0
49er,78.0
49ers,108.0
49th,82.0
4a,28.0
4am,1483.0
4b,27.0
4d,145.0
4days,14.0
4ever,17.0
4ft,29.0
4g,112.0
4h,16.0
4hours,15.0
4hr,17.0
4hrs,48.0
4in,12.0
4ish,67.0
4jnxuyy8wbaadmk3bpzlww,38.0
4k,118.0
4l,16.0
4lb,82.0
4lbs,41.0
4min,11.0
4oz,216.0
4p,149.0
4pc,16.0
4peaks,32.0
4pm,2761.0
4queens,20.0
4runner,55.0
4s,222.0
4square,15.0
4star,71.0
4stars,99.0
4th,4042.0
4ths,42.0
4wd,15.0
4x,264.0
4x4,123.0
4x6,27.0
4years,10.0
4yo,19.0
4yr,43.0
4yrs,30.0
50,48286.0
500,3971.0
5000,319.0
500lbs,10.0
500ml,19.0
500th,34.0
501,31.0
502,33.0
503,11.0
504,11.0
505,51.0
509,20.0
50am,91.0
50c,57.0
50cent,39.0
50cents,72.0
50eur,18.0
50ft,21.0
50ish,72.0
50k,56.0
50lb,33.0
50lbs,24.0
50m,10.0
50min,40.0
50mins,15.0
50ml,13.0
50mph,13.0
50oz,23.0
50p,68.0
50pm,219.0
50pp,23.0
50s,728.0
50th,448.0
50x,20.0
51,1099.0
510,42.0
5100,20.0
512,21.0
514,34.0
515,78.0
515pm,11.0
516,10.0
51pm,10.0
51s,43.0
51st,211.0
52,947.0
520,49.0
521,36.0
525,35.0
52nd,59.0
52pm,19.0
53,431.0
530,209.0
530am,17.0
530p,19.0
530pm,70.0
53pm,15.0
53rd,60.0
54,921.0
540,43.0
545,46.0
545pm,15.0
54pm,16.0
54th,55.0
55,3145.0
550,323.0
5500,18.0
555,14.0
55am,41.0
55pm,109.0
55th,71.0
56,675.0
560,37.0
56pm,17.0
56th,82.0
57,541.0
570,29.0
575,27.0
57pm,11.0
57th,47.0
58,586.0
580,42.0
5801,29.0
58am,15.0
58pm,32.0
58th,40.0
59,1197.0
590,16.0
595,16.0
599,35.0
59pm,26.0
59th,222.0
5a,28.0
5a7,22.0
5am,880.0
5c,55.0
5cents,12.0
5church,170.0
5days,15.0
5er,10.0
5ers,15.0
5ft,37.0
5g,18.0
5guys,43.0
5h,11.0
5hours,24.0
5hr,47.0
5hrs,105.0
5ish,120.0
5k,377.0
5l,31.0
5lb,68.0
5lbs,90.0
5m,11.0
5mi,10.0
5min,238.0
5mins,132.0
5minutes,35.0
5o,10.0
5oz,142.0
5p,182.0
5pc,16.0
5pm,3356.0
5s,196.0
5star,169.0
5stars,196.0
5th,2982.0
5w,13.0
5x,241.0
5x11,12.0
5x5,11.0
5x7,49.0
5xs,10.0
5years,12.0
5yo,24.0
5yr,41.0
5yrs,51.0
60,11165.0
600,1442.0
6000,90.0
602,182.0
608,34.0
60ish,22.0
60k,55.0
60lbs,11.0
60min,44.0
60mins,15.0
60p,13.0
60pp,11.0
60s,511.0
60th,172.0
61,231.0
610,16.0
615,36.0
615pm,12.0
61b,18.0
61c,51.0
61st,27.0
62,361.0
620,34.0
623,53.0
625,21.0
626,47.0
62nd,22.0
63,349.0
630,197.0
630am,29.0
630p,22.0
630pm,91.0
63rd,21.0
64,572.0
640,35.0
645,43.0
645pm,14.0
64oz,27.0
64th,130.0
65,2639.0
650,222.0
6500,25.0
655,12.0
65th,39.0
66,523.0
660,20.0
666,21.0
66pt_yqvzudrthxlgl74qw,10.0
67,388.0
670,14.0
675,25.0
67th,126.0
68,455.0
680,24.0
6800,11.0
68th,27.0
69,1020.0
695,11.0
699,18.0
69th,12.0
6a,44.0
6am,1178.0
6ft,60.0
6hrs,18.0
6in,23.0
6inch,12.0
6ish,109.0
6k,48.0
6lb,16.0
6lbs,10.0
6mg,13.0
6mo,20.0
6months,28.0
6mos,15.0
6oz,282.0
6p,203.0
6pack,15.0
6pc,12.0
6pm,4055.0
6s,21.0
6th,1129.0
6x,45.0
6yo,14.0
6yr,27.0
6yrs,20.0
70,6125.0
700,988.0
7000,80.0
700th,10.0
701,22.0
702,510.0
704,45.0
705,14.0
70ish,17.0
70mph,18.0
70s,837.0
70th,59.0
71,220.0
710,16.0
711,34.0
715,37.0
72,723.0
720,71.0
721,13.0
725,20.0
73,246.0
730,244.0
730am,30.0
730pm,99.0
737,43.0
74,338.0
740,28.0
745,53.0
745am,10.0
745pm,15.0
747,81.0
75,9663.0
750,299.0
7500,28.0
750ml,56.0
75c,12.0
75cents,25.0
75k,14.0
75l,15.0
75th,129.0
76,269.0
760,16.0
77,732.0
770,37.0
775,14.0
777,214.0
78,416.0
780,26.0
79,1155.0
795,11.0
799,20.0
79th,10.0
7a,59.0
7am,1160.0
7days,20.0
7eleven,26.0
7ish,115.0
7k,26.0
7lb,11.0
7lbs,10.0
7min,24.0
7mins,11.0
7months,11.0
7oz,106.0
7p,234.0
7pm,4190.0
7s,39.0
7st,13.0
7th,2293.0
7up,46.0
7x,17.0
7yr,26.0
7yrs,27.0
80,8955.0
800,1558.0
8000,70.0
808,526.0
80er,10.0
80ish,19.0
80k,28.0
80min,11.0
80oz,13.0
80p,13.0
80s,1659.0
80th,60.0
81,224.0
810,36.0
815,39.0
815pm,16.0
82,252.0
820,20.0
83,264.0
830,259.0
830am,34.0
830p,12.0
830pm,83.0
835,15.0
837,18.0
83rd,108.0
84,278.0
840,21.0
845,45.0
845pm,17.0
85,2043.0
850,117.0
85016,10.0
85251,16.0
85254,11.0
855,29.0
85th,12.0
86,451.0
860,17.0
866,18.0
86ed,18.0
87,370.0
870,13.0
875,17.0
877,24.0
87th,16.0
88,961.0
888,40.0
89,923.0
89052,12.0
89109,12.0
89119,11.0
899,10.0
8a,51.0
8am,1427.0
8ft,13.0
8h,11.0
8hrs,13.0
8in,13.0
8ish,93.0
8k,35.0
8lb,10.0
8lbs,11.0
8min,16.0
8mins,11.0
8oz,675.0
8p,145.0
8pc,15.0
8pm,3634.0
8s,22.0
8th,932.0
8ths,14.0
8x,23.0
8x10,59.0
8yr,12.0
8yrs,18.0
90,9472.0
900,610.0
9000,64.0
90210,32.0
905,15.0
908,21.0
909,19.0
9091,18.0
90eur,14.0
90k,37.0
90min,48.0
90mins,21.0
90s,1013.0
90th,105.0
91,240.0
910,24.0
911,381.0
915,33.0
915pm,20.0
91st,33.0
92,319.0
920,18.0
924,15.0
925,21.0
92nd,56.0
93,281.0
930,235.0
930am,49.0
930pm,83.0
94,308.0
940,19.0
941,10.0
944,35.0
945,41.0
945pm,15.0
95,15465.0
950,80.0
96,333.0
960,14.0
97,523.0
98,1001.0
980,21.0
99,25556.0
990,29.0
995,20.0
997,16.0
998,14.0
999,59.0
9999,13.0
99c,70.0
99cent,106.0
99cents,89.0
99p,17.0
99th,50.0
9a,177.0
9am,1678.0
9ish,85.0
9k,20.0
9mm,121.0
9oz,87.0
9p,142.0
9pm,3408.0
9s,30.0
9th,611.0
9yrs,11.0
__,186.0
___,180.0
____,153.0
_____,98.0
______,50.0
_______,51.0
________,29.0
_________,21.0
__________,27.0
___________,24.0
____________,14.0
_____________,17.0
___________________________________,28.0
__________________________________________,14.0
_c,13.0
_not_,16.0
a1,444.0
a15,10.0
a2,27.0
a3,23.0
a4,88.0
a5,170.0
a6,18.0
a7,14.0
a8,23.0
a9,20.0
aa,330.0
aaa,1193.0
aaaa,27.0
aaaaa,14.0
aaaaaa,10.0
aaaaaand,24.0
aaaaah,16.0
aaaaamazing,16.0
aaaaand,55.0
aaaah,44.0
aaaahhhh,10.0
aaaamazing,11.0
aaaand,68.0
aaah,71.0
aaahh,13.0
aaahhh,36.0
aaahhhh,13.0
aaamazing,14.0
aaand,40.0
aab,28.0
aac,15.0
aah,77.0
aahed,15.0
aahh,20.0
aahhh,23.0
aahing,25.0
aahs,26.0
aamco,81.0
aan,15.0
aand,20.0
aap,19.0
aardvark,14.0
aargh,11.0
aaron,809.0
aarp,80.0
aawl,32.0
ab,469.0
aback,598.0
abacus,65.0
abalone,165.0
abandon,283.0
abandoned,802.0
abandoning,65.0
abandonment,22.0
abated,14.0
abay,138.0
abba,95.0
abbey,139.0
abbot,16.0
abbott,22.0
abbreviated,103.0
abbreviation,19.0
abbreviations,15.0
abby,206.0
abc,800.0
abc15,18.0
abcs,17.0
abd,123.0
abdc,131.0
abdomen,53.0
abdominal,96.0
abducted,24.0
abdul,34.0
abe,174.0
abel,77.0
abend,213.0
abende,19.0
abendessen,33.0
abends,123.0
aber,2437.0
abercrombie,122.0
aberdeen,50.0
aberration,51.0
abf,32.0
abgesehen,21.0
abgewohnt,14.0
abholen,13.0
abhor,79.0
abhorred,11.0
abhorrent,56.0
abhors,13.0
abi,18.0
abiance,13.0
abide,120.0
abided,12.0
abides,20.0
abiding,56.0
abigail,22.0
abilities,481.0
ability,3094.0
abit,88.0
abita,187.0
abject,28.0
ablation,12.0
ablaze,36.0
able,60912.0
ables,14.0
ably,32.0
abnormal,143.0
abnormally,135.0
abnoxious,11.0
aboard,97.0
abodaba,24.0
abode,125.0
abolished,12.0
abolutely,11.0
abominable,60.0
abomination,190.0
abominations,22.0
abondance,13.0
abondigas,12.0
abonnement,11.0
abord,134.0
abordable,176.0
abordables,119.0
abort,26.0
aborted,22.0
abortion,52.0
aboslutely,22.0
abotu,18.0
abou,54.0
abound,523.0
abounded,25.0
abounding,28.0
abounds,97.0
abour,16.0
abouts,20.0
abovementioned,10.0
abq,34.0
abra,30.0
abraham,82.0
abrasion,27.0
abrasions,14.0
abrasive,232.0
abreast,49.0
abri,15.0
abridged,45.0
abrite,10.0
abroad,319.0
abrupt,392.0
abruptly,327.0
abruzzo,15.0
abs,356.0
abscess,37.0
abscessed,12.0
abschluss,13.0
absconded,10.0
abseits,21.0
absence,545.0
absent,738.0
absentee,46.0
absentminded,13.0
absentmindedly,15.0
absinth,23.0
absinthe,1116.0
abso,37.0
absoloutely,17.0
absoluetly,11.0
absolument,228.0
absolut,449.0
absolutamente,12.0
absolute,9433.0
absolutely,56270.0
absoluter,17.0
absolutes,28.0
absolutey,18.0
absolutley,170.0
absolutly,220.0
absorb,476.0
absorbant,11.0
absorbed,405.0
absorbent,41.0
absorber,11.0
absorbing,122.0
absorbs,95.0
absorption,36.0
absoultely,20.0
absoulutely,18.0
absoutely,15.0
abstain,37.0
abstained,26.0
abstand,19.0
abstenir,12.0
abstinence,10.0
abstract,227.0
abstraction,11.0
absurd,1147.0
absurdity,48.0
absurdly,345.0
absynthe,14.0
abt,215.0
abteilung,11.0
abu,37.0
abuela,50.0
abuelas,14.0
abuelita,35.0
abuelo,132.0
abuelos,88.0
abundance,1607.0
abundant,1161.0
abundantly,90.0
aburi,14.0
abuse,545.0
abused,297.0
abuser,14.0
abuses,20.0
abusing,83.0
abusive,158.0
abut,87.0
abuts,12.0
abutting,14.0
abuzz,36.0
abv,220.0
abwechslung,11.0
abwechslungsreiche,11.0
abysmal,551.0
abysmally,21.0
abyss,102.0
abyssinia,20.0
abziehen,14.0
abzug,49.0
ac,5052.0
aca,18.0
acacia,165.0
academia,12.0
academic,193.0
academically,29.0
academics,63.0
academie,42.0
academy,342.0
acadia,15.0
acadie,10.0
académie,16.0
acai,877.0
acana,20.0
acapella,26.0
acapulco,76.0
acc,49.0
accelerate,32.0
accelerated,37.0
accelerating,12.0
acceleration,43.0
accelerator,15.0
accent,2131.0
accented,422.0
accenting,15.0
accents,1109.0
accentuate,84.0
accentuated,104.0
accentuates,38.0
accentuating,15.0
accept,5035.0
acceptable,4324.0
acceptables,10.0
acceptably,41.0
acceptance,102.0
accepte,15.0
accepted,2316.0
acceptent,13.0
accepting,689.0
accepts,401.0
accesible,46.0
accesories,53.0
access,9118.0
accessable,35.0
accessed,243.0
accessibility,233.0
accessible,2665.0
accessibles,11.0
accessibly,13.0
accessing,72.0
accessoires,77.0
accessories,3841.0
accessorize,56.0
accessorized,22.0
accessory,360.0
accident,3170.0
accidental,175.0
accidentally,2454.0
accidently,248.0
accidents,388.0
acclaim,65.0
acclaimed,195.0
acclimate,32.0
acclimated,86.0
accolade,42.0
accolades,308.0
accomadate,46.0
accomadated,11.0
accomadating,126.0
accomdate,14.0
accomdating,21.0
accomidate,27.0
accomidated,12.0
accomidating,95.0
accomidations,13.0
accommodate,5926.0
accommodated,1806.0
accommodates,207.0
accommodating,12568.0
accommodation,308.0
accommodations,1288.0
accommodative,12.0
accommoder,13.0
accomodate,960.0
accomodated,232.0
accomodates,26.0
accomodating,1672.0
accomodation,65.0
accomodations,204.0
accompagnait,19.0
accompagne,33.0
accompagnement,90.0
accompagnements,41.0
accompagnent,11.0
accompagner,70.0
accompagné,134.0
accompagnée,41.0
accompagnées,16.0
accompagnés,27.0
accompanied,4496.0
accompanies,313.0
accompaniment,1049.0
accompaniments,663.0
accompany,1556.0
accompanying,1905.0
accompanyment,14.0
accomplice,36.0
accomplish,550.0
accomplished,740.0
accomplishes,42.0
accomplishing,52.0
accomplishment,230.0
accomplishments,52.0
accord,311.0
accordance,43.0
accordian,68.0
according,5074.0
accordingly,1829.0
accordion,253.0
accordions,15.0
accords,21.0
accost,20.0
accosted,243.0
accosting,23.0
account,6397.0
accountability,209.0
accountable,212.0
accountant,157.0
accountants,37.0
accounted,130.0
accounting,388.0
accounts,888.0
accoustic,11.0
accoustics,33.0
accouterment,12.0
accouterments,92.0
accoutrement,100.0
accoutrements,285.0
accreditation,17.0
accredited,63.0
accross,201.0
accrue,26.0
accrued,31.0
accruing,10.0
acct,94.0
accueil,187.0
accueillant,92.0
accueillante,11.0
accueille,34.0
accueillent,11.0
accueilli,28.0
accueillie,13.0
accueillir,36.0
accueillis,20.0
accumulate,148.0
accumulated,184.0
accumulates,30.0
accumulating,56.0
accumulation,39.0
accupro,13.0
accuracy,327.0
accurate,2961.0
accurately,625.0
accusation,37.0
accusations,64.0
accusatory,61.0
accuse,163.0
accused,546.0
accuses,21.0
