,feature,count
878,3mins,17.0
879,3minutes,10.0
880,3months,11.0
881,3o,12.0
891,3times,19.0
892,3weeks,14.0
895,3x5,10.0
896,3xs,15.0
897,3years,16.0
904,400lbs,15.0
908,403,12.0
909,404,13.0
911,407,12.0
913,409,11.0
915,40cents,10.0
918,40lb,14.0
923,40mph,15.0
927,40pp,12.0
934,414,14.0
936,41st,15.0
940,426,12.0
941,427,10.0
942,428,15.0
944,42oz,11.0
947,4300,12.0
948,430am,16.0
949,430p,11.0
951,433,17.0
956,441,15.0
963,456,13.0
965,45a,12.0
968,45m,11.0
972,45mph,15.0
975,45s,18.0
979,465,11.0
987,4800,17.0
991,48pm,17.0
1004,4days,14.0
1005,4ever,17.0
1008,4h,16.0
1009,4hours,15.0
1010,4hr,17.0
1012,4in,12.0
1016,4l,16.0
1019,4min,11.0
1022,4pc,16.0
1028,4square,15.0
1033,4wd,15.0
1037,4years,10.0
1038,4yo,19.0
1044,500lbs,10.0
1045,500ml,19.0
1049,503,11.0
1050,504,11.0
1057,50eur,18.0
1063,50m,10.0
1065,50mins,15.0
1066,50ml,13.0
1067,50mph,13.0
1081,515pm,11.0
1082,516,10.0
1083,51pm,10.0
1091,52pm,19.0
1094,530am,17.0
1095,530p,19.0
1097,53pm,15.0
1102,545pm,15.0
1103,54pm,16.0
1107,5500,18.0
1108,555,14.0
1114,56pm,17.0
1119,57pm,11.0
1124,58am,15.0
1128,590,16.0
1129,595,16.0
1137,5cents,12.0
1139,5days,15.0
1140,5er,10.0
1141,5ers,15.0
1143,5g,18.0
1145,5h,11.0
1154,5m,11.0
1155,5mi,10.0
1159,5o,10.0
1162,5pc,16.0
1168,5w,13.0
1170,5x11,12.0
1171,5x5,11.0
1173,5xs,10.0
1174,5years,12.0
1185,60lbs,11.0
1187,60mins,15.0
1188,60p,13.0
1189,60pp,11.0
1193,610,16.0
1195,615pm,12.0
1196,61b,18.0
1214,645pm,14.0
1220,655,12.0
1225,66pt_yqvzudrthxlgl74qw,10.0
1227,670,14.0
1232,6800,11.0
1235,695,11.0
1236,699,18.0
1237,69th,12.0
1241,6hrs,18.0
1243,6inch,12.0
1246,6lb,16.0
1247,6lbs,10.0
1248,6mg,13.0
1251,6mos,15.0
1254,6pack,15.0
1255,6pc,12.0
1260,6yo,14.0
1266,700th,10.0
1270,705,14.0
1271,70ish,17.0
1272,70mph,18.0
1276,710,16.0
1281,721,13.0
1291,745am,10.0
1292,745pm,15.0
1298,75c,12.0
1300,75k,14.0
1301,75l,15.0
1304,760,16.0
1307,775,14.0
1312,795,11.0
1314,79th,10.0
1321,7lb,11.0
1322,7lbs,10.0
1324,7mins,11.0
1325,7months,11.0
1330,7st,13.0
1333,7x,17.0
1340,80er,10.0
1341,80ish,19.0
1343,80min,11.0
1344,80oz,13.0
1345,80p,13.0
1351,815pm,16.0
1357,830p,12.0
1359,835,15.0
1360,837,18.0
1365,845pm,17.0
1368,85016,10.0
1369,85251,16.0
1370,85254,11.0
1372,85th,12.0
1374,860,17.0
1375,866,18.0
1376,86ed,18.0
1378,870,13.0
1379,875,17.0
1381,87th,16.0
1385,89052,12.0
1386,89109,12.0
1387,89119,11.0
1388,899,10.0
1391,8ft,13.0
1392,8h,11.0
1393,8hrs,13.0
1394,8in,13.0
1397,8lb,10.0
1398,8lbs,11.0
1399,8min,16.0
1400,8mins,11.0
1403,8pc,15.0
1407,8ths,14.0
1410,8yr,12.0
1411,8yrs,18.0
1416,905,15.0
1418,909,19.0
1419,9091,18.0
1420,90eur,14.0
1433,920,18.0
1434,924,15.0
1442,940,19.0
1443,941,10.0
1446,945pm,15.0
1450,960,14.0
1457,997,16.0
1458,998,14.0
1460,9999,13.0
1464,99p,17.0
1476,9yrs,11.0
1487,____________,14.0
1488,_____________,17.0
1490,__________________________________________,14.0
1491,_c,13.0
1492,_not_,16.0
1494,a15,10.0
1499,a6,18.0
1500,a7,14.0
1506,aaaaa,14.0
1507,aaaaaa,10.0
1509,aaaaah,16.0
1510,aaaaamazing,16.0
1513,aaaahhhh,10.0
1514,aaaamazing,11.0
1517,aaahh,13.0
1519,aaahhhh,13.0
1520,aaamazing,14.0
1523,aac,15.0
1525,aahed,15.0
1531,aan,15.0
1533,aap,19.0
1534,aardvark,14.0
1535,aargh,11.0
1547,abated,14.0
1551,abbot,16.0
1554,abbreviation,19.0
1555,abbreviations,15.0
1558,abc15,18.0
1559,abcs,17.0
1569,abende,19.0
1578,abgewohnt,14.0
1579,abholen,13.0
1581,abhorred,11.0
1583,abhors,13.0
1584,abi,18.0
1585,abiance,13.0
1587,abided,12.0
1596,ablation,12.0
1599,ables,14.0
1603,abnoxious,11.0
1607,abolished,12.0
1608,abolutely,11.0
1612,abondance,13.0
1613,abondigas,12.0
1614,abonnement,11.0
1622,abotu,18.0
1628,abour,16.0
1630,abovementioned,10.0
1635,abrasions,14.0
1638,abri,15.0
1640,abrite,10.0
1644,abruzzo,15.0
1647,abscessed,12.0
1648,abschluss,13.0
1649,absconded,10.0
1654,absentminded,13.0
1655,absentmindedly,15.0
1659,absoloutely,17.0
1660,absoluetly,11.0
1663,absolutamente,12.0
1666,absoluter,17.0
1668,absolutey,18.0
1672,absorbant,11.0
1675,absorber,11.0
1680,absoulutely,18.0
1681,absoutely,15.0
1684,abstand,19.0
1685,abstenir,12.0
1686,abstinence,10.0
1688,abstraction,11.0
1692,absynthe,14.0
1694,abteilung,11.0
1697,abuelas,14.0
1704,aburi,14.0
1707,abuser,14.0
1712,abuts,12.0
1713,abutting,14.0
1716,abwechslung,11.0
1717,abwechslungsreiche,11.0
1722,abziehen,14.0
1725,aca,18.0
1727,academia,12.0
1733,acadia,15.0
1734,acadie,10.0
1735,académie,16.0
1743,accelerating,12.0
1745,accelerator,15.0
1748,accenting,15.0
1753,accentuating,15.0
1756,acceptables,10.0
1759,accepte,15.0
1761,acceptent,13.0
1771,accessibles,11.0
1772,accessibly,13.0
1791,accomadated,11.0
1793,accomdate,14.0
1796,accomidated,12.0
1798,accomidations,13.0
1805,accommodative,12.0
1806,accommoder,13.0
1813,accompagnait,19.0
1817,accompagnent,11.0
1821,accompagnées,16.0
1829,accompanyment,14.0
1843,accordions,15.0
1856,accoustic,11.0
1858,accouterment,12.0
1862,accreditation,17.0
1867,accruing,10.0
1871,accueillante,11.0
1873,accueillent,11.0
1875,accueillie,13.0
1883,accupro,13.0
1896,accutane,18.0
1899,accéder,18.0
1903,aceite,13.0
1904,acer,13.0
1905,acerbic,13.0
1908,aceto,13.0
1918,acheive,16.0
1922,achievable,13.0
1927,achiever,10.0
1932,achingly,15.0
1941,acidy,15.0
1943,ackee,18.0
1950,acknowleged,12.0
1956,acommodating,10.0
1958,acorns,13.0
1965,acquaint,15.0
1969,acquiesce,12.0
1975,acquisitions,12.0
1977,acreage,15.0
1980,acro,18.0
1986,acronyms,15.0
1987,acropolis,10.0
1988,acrossed,14.0
2002,activator,14.0
2005,activewear,11.0
2006,activism,12.0
2008,activists,16.0
2012,activité,19.0
2022,actuallly,13.0
2025,actuator,16.0
2026,actully,12.0
2027,acually,14.0
2028,acuity,11.0
2033,acupuncturists,13.0
2036,acutal,12.0
2039,acutely,17.0
2047,adament,17.0
2056,adapters,18.0
2059,adaptor,14.0
2060,adapts,12.0
2062,adaquate,19.0
2063,adays,13.0
2064,adc,18.0
2069,adderall,13.0
2073,addictingly,17.0
2079,addidas,13.0
2088,additon,18.0
2090,additude,16.0
2091,addl,10.0
2093,addon,15.0
2094,addons,19.0
2100,addt,14.0
2104,addy,19.0
2107,adelson,16.0
2108,además,11.0
2110,adepte,11.0
2111,adeptes,12.0
2114,ades,10.0
2124,adina,19.0
2131,adjoin,10.0
2135,adjourned,11.0
2141,adjusters,10.0
2153,administers,12.0
2161,admirals,14.0
2166,admirers,14.0
2167,admires,11.0
2172,admitedly,13.0
2178,admittingly,10.0
2179,admonish,14.0
2181,admonishing,12.0
2182,admonition,13.0
2186,adobadas,16.0
2190,adolescence,19.0
2198,adopters,10.0
2202,adopts,10.0
2203,adopté,12.0
2205,adorables,10.0
2211,adorer,12.0
2232,adriatic,14.0
2235,adrift,18.0
2239,adulte,11.0
2240,adulterated,13.0
2241,adultes,17.0
2244,adv,11.0
2248,advancements,11.0
2252,advantaged,10.0
2264,adventurist,11.0
2266,adventurously,15.0
2268,adversely,19.0
2274,advertisers,13.0
2277,advertisment,18.0
2280,advertizing,15.0
2283,adviced,10.0
2291,advisers,15.0
2303,aee,17.0
2305,aeoli,14.0
2314,aerodynamic,10.0
2326,afaik,12.0
2327,afan,11.0
2331,afer,16.0
2334,affagato,10.0
2339,affamé,11.0
2340,affamés,11.0
2342,affectation,13.0
2348,affections,12.0
2350,affettati,18.0
2352,affiches,10.0
2353,affiché,10.0
2356,afficionados,16.0
2368,affix,11.0
2370,affleck,17.0
2377,afforadable,15.0
2385,affortable,12.0
2386,affraid,19.0
2388,affronted,13.0
2389,afgan,11.0
2393,afi,18.0
2394,aficianado,13.0
2399,aflame,16.0
2405,aformentioned,14.0
2409,afrique,12.0
2410,afritada,13.0
2413,afros,10.0
2415,afte,11.0
2431,aftertastes,12.0
2433,afterthoughts,19.0
2440,agains,17.0
2444,agatha,12.0
2451,ageist,17.0
2453,agence,10.0
2457,agendas,18.0
2460,ager,10.0
2464,aggitated,11.0
2465,aggrandizing,10.0
2471,aggregate,10.0
2472,aggregation,10.0
2473,aggresive,17.0
2477,aggressiveness,19.0
2478,aggrevation,10.0
2479,aggro,16.0
2482,aghh,11.0
2484,agile,17.0
2489,agitate,15.0
2491,agitation,18.0
2493,agm,16.0
2495,agnello,17.0
2497,agnoletti,13.0
2500,agonize,11.0
2506,agoraphobic,10.0
2507,agradable,13.0
2508,agreable,12.0
2509,agreat,12.0
2512,agreeably,13.0
2519,agressively,11.0
2524,agrodolce,19.0
2528,agrémenté,10.0
2541,ahcccs,12.0
2543,ahe,10.0
2545,aheads,14.0
2548,ahhed,19.0
2555,ahhhhhhhhh,15.0
2556,ahhhhhhhhhh,12.0
2557,ahhhhhmazing,13.0
2560,ahhhs,12.0
2565,ahl,18.0
2568,ahnung,19.0
2573,aholes,14.0
2576,ahr,19.0
2578,ahu,10.0
2579,ahuntsic,11.0
2584,ahí,15.0
2587,aida,14.0
2588,aidan,15.0
2596,aidé,19.0
2603,aiiight,11.0
2604,aiite,19.0
2605,aikawa,19.0
2606,aiken,19.0
2609,ailed,11.0
2613,aille,13.0
2621,aimables,13.0
2622,aimais,18.0
2629,aimerez,12.0
2636,aimée,10.0
2638,aina,18.0
2647,airbags,15.0
2654,airbus,17.0
2655,aircon,19.0
2661,airedale,11.0
2664,airfield,12.0
2666,airforce,16.0
2668,airheaded,11.0
2669,airheads,19.0
2676,airmen,16.0
2684,airspace,11.0
2686,airtight,17.0
2687,airtime,16.0
2688,airtran,11.0
2689,airwaves,10.0
2701,aja,13.0
2703,ajax,14.0
2707,ajout,16.0
2709,ajoutent,13.0
2711,ajoutez,15.0
2712,ajouté,19.0
2720,akaihana,17.0
2723,aked,10.0
2724,akhavan,18.0
2729,aknowledge,16.0
2730,akon,18.0
2732,akron,12.0
2734,aksed,14.0
2735,aktionen,14.0
2736,aktuell,17.0
2737,aktuellen,10.0
2739,akwardly,11.0
2740,akzeptabel,14.0
2745,alacrity,14.0
2747,aladdins,19.0
2748,aladin,13.0
2750,alaina,15.0
2752,alambres,12.0
2755,alamos,11.0
2758,alanis,19.0
2759,alanna,11.0
2777,alberstons,13.0
2781,albertos,18.0
2788,albondiga,11.0
2790,albright,17.0
2795,alcachofa,13.0
2796,alcapurrias,19.0
2797,alcatra,11.0
2801,alchie,10.0
2803,alchoholic,14.0
2804,alchol,16.0
2807,alco,12.0
2808,alcohal,11.0
2815,alcoolisées,11.0
2821,alderwood,10.0
2824,aldrich,10.0
2833,aleppo,11.0
2839,alessandra,14.0
2840,alessandro,14.0
2848,alexandre,19.0
2851,alexia,12.0
2853,alexus,19.0
2854,alfa,10.0
2863,algebra,12.0
2864,algeria,11.0
2866,algorithm,10.0
2867,algues,18.0
2871,alias,14.0
2872,alibaba,13.0
2873,alibi,15.0
2882,aligator,17.0
2889,aligns,18.0
2890,alihan,14.0
2895,alimentaires,19.0
2896,alimentation,12.0
2898,alina,13.0
2905,alitcha,19.0
2912,alki,13.0
2917,allagash,12.0
2918,allah,18.0
2923,allay,11.0
2925,allays,10.0
2927,allegations,15.0
2933,allegra,17.0
2938,allemal,16.0
2950,allerlei,19.0
2961,allgemein,10.0
2964,alliances,11.0
2979,alllllllll,17.0
2983,allocation,19.0
2998,alloy,18.0
3003,allstars,12.0
3005,allt,13.0
3006,alltel,12.0
3007,allthough,10.0
3008,alltogether,12.0
3009,allude,13.0
3011,alludes,19.0
3012,alluding,15.0
3014,allured,14.0
3015,allures,19.0
3017,allusion,12.0
3024,alléchante,10.0
3025,alléchants,12.0
3030,almandine,17.0
3031,almaza,14.0
3039,alochol,12.0
3048,aloofness,18.0
3050,alos,17.0
3053,alotted,10.0
3056,alpacas,14.0
3069,alrite,15.0
3073,alsways,10.0
3083,altercations,16.0
3095,alternativen,15.0
3099,alters,19.0
3100,altes,11.0
3108,altoids,16.0
3110,altos,18.0
3112,altruistic,12.0
3113,alu,19.0
3119,alvadora,10.0
3120,alvarez,12.0
3124,alwayse,18.0
3125,alwayz,13.0
3126,alwun,14.0
3127,alwyas,13.0
3128,alwys,17.0
3133,amaaaaaaazing,16.0
3138,amaazing,10.0
3139,amable,11.0
3140,amadi,15.0
3152,amanecer,17.0
3155,amante,15.0
3156,amaranth,18.0
3161,amargosa,19.0
3165,amass,19.0
3172,amature,19.0
3177,amazeballz,11.0
3183,amazingg,14.0
3187,amazingggggg,10.0
3188,amazinggggggg,14.0
3191,amazng,12.0
3193,amazzzing,16.0
3195,amazzzzzing,13.0
3202,ambiances,19.0
3204,ambien,15.0
3210,ambiguously,11.0
3225,ambulatory,11.0
3230,amcs,17.0
3233,amedei,14.0
3237,amelio,18.0
3238,ameliorate,15.0
3239,amelios,10.0
3247,amendments,13.0
3256,amené,19.0
3258,amercian,14.0
3261,americain,16.0
3265,americanised,14.0
3266,americanization,16.0
3273,amerikanisch,13.0
3274,amerikanische,15.0
3276,amertume,19.0
3283,amh,16.0
3284,amherst,15.0
3288,amicably,18.0
3290,amicale,14.0
3292,amico,18.0
3293,amicus,18.0
3297,amier,18.0
3299,amiga,19.0
3300,amigas,15.0
3305,amino,19.0
3307,amiright,19.0
3314,amma,15.0
3315,amman,14.0
3319,ammos,14.0
3323,amnt,11.0
3330,amorous,19.0
3331,amorphous,13.0
3333,amost,17.0
3339,amoureuse,11.0
3346,amphibians,13.0
3349,ampitheater,19.0
3350,ampitheatre,11.0
3353,amplification,11.0
3357,amplifies,19.0
3362,amputate,12.0
3364,amputation,13.0
3375,amusements,15.0
3380,amx,15.0
3384,amère,14.0
3392,anachronistic,18.0
3393,anaconda,19.0
3396,anahi,18.0
3399,analogies,18.0
3401,analogs,11.0
3402,analogue,14.0
3405,analyst,13.0
3406,analytical,19.0
3411,ananda,13.0
3413,anarchist,16.0
3417,anatomical,17.0
3420,anbieten,11.0
3421,anc,15.0
3423,ancestral,19.0
3431,anchorman,17.0
3438,anciennement,11.0
3439,anciennes,10.0
3444,anda,13.0
3445,andale,15.0
3446,andalusian,13.0
3448,andd,19.0
3451,anddddd,16.0
3452,andddddd,10.0
3453,andean,13.0
3455,anderem,14.0
3457,anderer,16.0
3460,andersen,13.0
3462,anderswo,14.0
3467,andie,13.0
3468,andoille,10.0
3470,andoullie,12.0
3476,andretti,14.0
3479,androgynous,12.0
3481,androids,11.0
3485,andthe,12.0
3488,ane,16.0
3489,anecdotal,16.0
3493,anemia,12.0
3498,aneurysm,16.0
3502,anfangen,12.0
3503,anfrage,10.0
3511,angekommen,14.0
3515,angelenos,11.0
3517,angelhair,16.0
3521,angelinas,18.0
3525,angelos,14.0
3530,angenehmen,11.0
3531,angenehmer,13.0
3532,angenehmes,14.0
3536,angering,13.0
3538,anges,14.0
3539,angesagt,16.0
3540,angesichts,13.0
3541,angestellten,10.0
3551,angling,13.0
3557,angrenzenden,13.0
3559,angriest,14.0
3568,anheuser,12.0
3570,anice,10.0
3572,animalistic,12.0
3582,animé,13.0
3583,animée,11.0
3584,anis,14.0
3586,aniseed,11.0
3588,anit,10.0
3590,anitpasto,18.0
3600,annd,12.0
3602,annemarie,16.0
3605,annexed,13.0
3606,anni,17.0
3608,annies,17.0
3609,annihilate,10.0
3616,anniversay,15.0
3620,annnnnnd,12.0
3621,annonce,16.0
3638,anntony,19.0
3644,anointed,14.0
3645,anomalies,10.0
3646,anomalous,13.0
3652,anothe,13.0
3653,anothers,11.0
3654,anout,15.0
3656,ansari,15.0
3658,anscheinend,13.0
3666,anstatt,14.0
3667,anstehen,10.0
3670,answerer,11.0
3674,antacid,11.0
3675,antacids,13.0
3676,antagonistic,15.0
3677,antagonize,15.0
3678,antagonizing,13.0
3679,antarctic,12.0
3682,anteaques,19.0
3687,anterior,11.0
3688,antes,18.0
3693,anthologies,14.0
3694,anthology,19.0
3698,anthropological,13.0
3711,anticipatory,15.0
3719,antihistamine,13.0
3725,antipastos,12.0
3726,antiquarian,19.0
3729,antiqued,13.0
3731,antiquey,15.0
3734,antiquity,19.0
3738,antithetical,10.0
3741,antoher,11.0
3744,antojitos,17.0
3745,antojos,18.0
3749,antonios,18.0
3753,antwort,13.0
3755,anvil,16.0
3757,anways,18.0
3762,any1,18.0
3764,anycase,11.0
3767,anyhooo,12.0
3768,anyhting,13.0
3773,anythign,17.0
3774,anythin,12.0
3775,anythings,17.0
3778,anytown,15.0
3780,anywayz,17.0
3783,anywhooo,10.0
3784,anywhoooo,10.0
3785,anzahl,14.0
3786,anzi,16.0
3788,anzios,11.0
3789,anzubieten,10.0
3791,aod,16.0
3798,aorund,10.0
3799,aound,16.0
3800,aout,11.0
3801,août,17.0
3805,apalled,16.0
3806,aparagus,11.0
3812,apathetically,10.0
3814,apatite,12.0
3818,apercevoir,13.0
3823,apertifs,10.0
3824,aperçu,17.0
3829,apetito,10.0
3833,apfelstrudel,19.0
3835,aphrodisiaque,11.0
3840,apn,18.0
3844,apoligize,11.0
3863,appaled,12.0
3869,apparatuses,17.0
3870,appareil,14.0
3873,apparence,18.0
3876,apparition,11.0
3877,appart,18.0
3879,appartient,11.0
3881,appatizers,18.0
3882,appauled,17.0
3883,appauling,14.0
3887,appealingly,16.0
3888,appealling,18.0
3902,appellation,15.0
3905,appendage,18.0
3906,appendages,19.0
3908,apperance,12.0
3917,appetitie,16.0
3918,appetitlich,11.0
3920,appetized,11.0
3924,appi,14.0
3927,appitite,16.0
3933,applauds,10.0
3938,appleby,13.0
3944,appletinis,16.0
3950,applicant,13.0
3951,applicants,19.0
3954,applicator,16.0
3957,applique,10.0
3965,appoints,12.0
3966,appologetic,14.0
3971,apportent,10.0
3979,appraise,17.0
3983,appreciably,12.0
3990,appreciatively,11.0
3991,appreciator,12.0
3993,apprehensions,18.0
3998,apprenticed,10.0
4000,apprenticeship,10.0
4001,apprently,11.0
4002,appriciate,14.0
4006,approachability,11.0
4011,approche,16.0
4012,approched,12.0
4013,appropiate,11.0
4016,approprié,10.0
4018,approvals,15.0
4025,approximated,12.0
4027,approximates,16.0
4029,approximations,12.0
4030,apprx,18.0
4031,appréciable,16.0
4035,appréciée,17.0
4039,apptz,12.0
4043,appz,10.0
4047,appétits,17.0
4049,aprehensive,10.0
4061,apsara,16.0
4068,apéritif,19.0
4069,apéro,17.0
4071,aquae,10.0
4073,aquainted,10.0
4080,aquavina,18.0
4081,aquavit,12.0
4085,ar15,13.0
4086,ara,14.0
4088,arabe,12.0
4093,arabs,10.0
4095,arachide,17.0
4097,aradia,13.0
4099,aragula,14.0
4100,arahova,18.0
4102,arak,13.0
4103,aramark,17.0
4104,arana,12.0
4107,arancinis,12.0
4108,aranya,17.0
4109,arare,18.0
4110,arbeit,18.0
4112,arbeitet,13.0
4115,arbitration,13.0
4122,arbre,10.0
4130,arcadian,14.0
4131,arcane,17.0
4133,archaeological,19.0
4134,archaeology,15.0
4136,archambault,13.0
4138,archeological,16.0
4139,archeology,16.0
4144,archetypal,14.0
4155,architectures,10.0
4156,architektur,15.0
4158,archived,11.0
4163,arcos,17.0
4167,ardbeg,10.0
4168,ardee,10.0
4172,ardrey,19.0
4182,arepera,12.0
4184,aretha,16.0
4187,argana,15.0
4195,arghh,14.0
4196,arghhh,16.0
4197,arghhhh,10.0
4198,argo,11.0
4199,argos,19.0
4200,arguable,13.0
4205,arguements,13.0
4214,arhoma,19.0
4219,arianna,11.0
4224,arielle,18.0
4225,aries,15.0
4227,aright,19.0
4228,arik,15.0
4232,arising,19.0
4234,aristocratic,14.0
4235,aristocrats,12.0
4236,arithmetic,17.0
4241,arizonas,14.0
4252,armada,19.0
4254,armageddon,19.0
4258,armandos,16.0
4260,armature,11.0
4261,armband,12.0
4265,armenia,12.0
4269,armfuls,11.0
4270,armies,14.0
4274,armoir,15.0
4276,armoires,18.0
4279,armored,12.0
4299,aron,13.0
4301,aroudn,12.0
4302,aroun,10.0
4304,aroung,16.0
4305,arouse,17.0
4307,arousing,15.0
4310,arpino,18.0
4311,arr,15.0
4317,arrancini,19.0
4324,arrangments,12.0
4326,arrayed,18.0
4327,arrays,15.0
4331,arrests,18.0
4332,arrgh,15.0
4335,arribiatta,14.0
4337,arrivages,10.0
4346,arrivers,13.0
4352,arrivées,14.0
4358,arron,13.0
4359,arrondissement,12.0
4360,arround,18.0
4367,arrrgh,12.0
4368,arrugula,15.0
4373,ars,19.0
4375,arsed,16.0
4376,arsehole,11.0
4378,arsenic,13.0
4381,arte,16.0
4383,arterial,15.0
4386,artesia,14.0
4388,artform,11.0
4392,arthritic,15.0
4397,artichaut,15.0
4404,articulating,14.0
4416,artisanales,18.0
4425,artistique,19.0
4439,arugla,15.0
4443,arômes,13.0
4445,asad,17.0
4451,asados,12.0
4453,asagio,10.0
4459,asari,13.0
4466,ascends,12.0
4469,ascertained,13.0
4470,ascetically,14.0
4471,ascot,11.0
4472,ascribe,10.0
4479,ashbury,12.0
4480,ashe,13.0
4488,ashleys,10.0
4489,ashoka,16.0
4501,asiatic,11.0
4504,asiatische,11.0
4505,asiatisches,13.0
4509,asie,19.0
4512,askance,17.0
4513,aske,15.0
4517,askin,16.0
4522,aso,10.0
4528,aspartame,17.0
4532,asperagus,13.0
4533,asperge,14.0
4536,aspic,17.0
4541,aspired,19.0
4547,assad,19.0
4548,assada,10.0
4550,assaisonnements,13.0
4552,assaisonnée,12.0
4553,assaisonnées,14.0
4555,assari,16.0
4565,assembler,13.0
4567,assemblies,11.0
4574,assertions,11.0
4577,assesment,12.0
4598,assimilated,12.0
4599,assing,19.0
